alpha          beta    depth(slice)
0.157123      0.0559954              0
0.158821      0.0559865              1
0.16238      0.0555194              2
0.161129      0.0556463              3
0.161582      0.0556595              4
0.162755      0.0556187              5
0.162134      0.0555885              6
0.163162      0.0555386              7
0.166652      0.0552505              8
0.165288      0.0553661              9
0.16707      0.0551664             10
0.1672       0.055186             11
0.167333      0.0551859             12
0.169452      0.0549809             13
0.168198      0.0552454             14
0.167096      0.0552751             15
0.16898      0.0550902             16
0.170408      0.0549538             17
0.170799      0.0550353             18
0.171978      0.0546724             19
0.171632       0.054872             20
0.172693      0.0547864             21
0.172654      0.0548868             22
0.174225      0.0546767             23
0.173325      0.0548455             24
0.175553      0.0546982             25
0.174642      0.0547557             26
0.174716      0.0547856             27
0.175466      0.0546513             28
0.176353      0.0545872             29
0.175863      0.0547912             30
0.17761      0.0545867             31
0.176423      0.0547153             32
0.178661      0.0545295             33
0.179145      0.0544415             34
0.179225       0.054599             35
0.179656      0.0545331             36
0.180788      0.0543613             37
0.180968      0.0543779             38
0.18088      0.0544035             39
0.182835      0.0541582             40
0.18443      0.0541239             41
0.183425      0.0542761             42
0.184689      0.0542594             43
0.185158       0.054188             44
0.185719      0.0540914             45
0.186995      0.0540224             46
0.185198      0.0543201             47
0.186558      0.0541866             48
0.188096      0.0539462             49
0.188768      0.0540219             50
0.190122      0.0538296             51
0.190223      0.0539351             52
0.190614      0.0539533             53
0.191709      0.0538016             54
0.192686      0.0538244             55
0.193517       0.053732             56
0.194641       0.053682             57
0.197453      0.0533915             58
0.198432      0.0531903             59
0.198183      0.0535275             60
0.19858      0.0535558             61
0.200757      0.0533565             62
0.202218      0.0532596             63
0.20437      0.0530575             64
0.205475      0.0529422             65
0.206524      0.0529606             66
0.208267      0.0529646             67
0.209979      0.0528185             68
0.212699      0.0525289             69
0.215277      0.0523935             70
0.217504      0.0522657             71
0.221532      0.0519845             72
0.2244      0.0518587             73
0.228649      0.0515693             74
0.236401       0.050832             75
0.245426      0.0498905             76
0.250483      0.0490423             77
0.252782      0.0485442             78
0.253933      0.0485245             79
0.255346        0.04846             80
0.256605      0.0481407             81
0.257483      0.0482309             82
0.258494      0.0481559             83
0.26081      0.0478386             84
0.260664       0.047852             85
0.262602      0.0478501             86
0.263593      0.0476304             87
0.26351      0.0478607             88
0.266736      0.0475384             89
0.268901       0.047309             90
0.270356      0.0471616             91
0.27047      0.0472009             92
0.272864       0.047111             93
0.274706      0.0467925             94
0.275191      0.0468692             95
0.278695      0.0465195             96
0.280289      0.0463324             97
0.282332      0.0462316             98
0.284178      0.0460765             99
0.28593      0.0459614            100
0.287316      0.0458468            101
0.289661      0.0456805            102
0.293046       0.045499            103
0.295615      0.0451501            104
0.29796      0.0451161            105
0.301396       0.044714            106
0.303258      0.0445644            107
0.307199       0.044187            108
0.310654      0.0439349            109
0.315189      0.0434267            110
0.318897      0.0431938            111
0.323133      0.0427841            112
0.328991      0.0424464            113
0.334533      0.0417519            114
0.340232      0.0412194            115
0.345598       0.040698            116
0.353355      0.0402568            117
0.361971      0.0392927            118
0.373157      0.0381326            119
0.384284      0.0369369            120
0.397482      0.0354057            121
0.413564      0.0334792            122
0.432597      0.0309913            123
0.449397      0.0273358            124
0.46454      0.0237592            125
0.473186       0.019778            126
0.470955      0.0161452            127
0.463772      0.0136327            128
0.442105       0.011089            129
0.374299     0.00876813            130
0.345736       0.011658            131
0.323695      0.0110995            132
0.342033       0.014199            133
0.318454     0.00961188            134
0.387173      0.0120556            135
0.368288      0.0110473            136
0.30259     0.00443252            137
0.364424      0.0141221            138
0.253659     0.00792518            139
0.263986       0.011467            140
0.303179     0.00860236            141
0.31114     0.00548091            142
0.284823         0.0111            143
0.398243      0.0103861            144
0.32086      0.0131825            145
0.347716      0.0128209            146
0.343437      0.0151756            147
0.208661     0.00756341            148
0.354236      0.0207201            149
0.30396      0.0112984            150
0.399565     0.00945315            151
0.279335     0.00601492            152
0.394308     0.00977418            153
0.40582      0.0081179            154
0.349854      0.0040165            155
0.386559      0.0158441            156
0.29807     0.00541518            157
0.381065     0.00907725            158
0.242172     0.00443486            159
0.215719      0.0137112            160
0.384493      0.0152471            161
0.311186      0.0108487            162
0.371667      0.0140309            163
0.387871     0.00852174            164
0.292974      0.0151937            165
0.334118      0.0207891            166
0.39371      0.0183177            167
0.386999      0.0144533            168
0.428476      0.0099958            169
0.305376      0.0118617            170
0.255213      0.0143741            171
0.325373      0.0157194            172
0.457478     0.00947339            173
0.39234      0.0112177            174
0.305223     0.00518945            175
0.462542     0.00786705            176
0.331075      0.0194491            177
0.429282      0.0153664            178
0.36831      0.0175349            179
0.41755      0.0120597            180
0.371272      0.0256078            181
0.350542      0.0209296            182
0.383781      0.0200608            183
0.450496      0.0148825            184
0.354254      0.0127628            185
0.284107      0.0208612            186
0.273227      0.0205269            187
0.356967      0.0120726            188
0.388491      0.0127349            189
0.372215      0.0201504            190
0.271144      0.0125283            191
0.342722      0.0161122            192
0.416742      0.0127871            193
0.435581      0.0261763            194
0.344889      0.0165983            195
0.329375      0.0110241            196
0.295255      0.0200841            197
0.332867      0.0127369            198
0.429405      0.0217131            199
