alpha          beta    depth(slice)
0.157836      0.0559151              0
0.17392      0.0543042              1
0.154474      0.0571819              2
0.162963      0.0542726              3
0.149513      0.0561596              4
0.156641      0.0548165              5
0.17019      0.0547107              6
0.16399      0.0554638              7
0.166659      0.0548299              8
0.186271      0.0536335              9
0.172212      0.0553767             10
0.181236      0.0540178             11
0.15711      0.0570318             12
0.163318      0.0561005             13
0.156061      0.0571095             14
0.165875      0.0555926             15
0.160225      0.0559826             16
0.158321      0.0569616             17
0.161062      0.0566263             18
0.177061      0.0528852             19
0.16227      0.0559754             20
0.164761      0.0559664             21
0.15935      0.0568754             22
0.15985      0.0567922             23
0.175778      0.0539311             24
0.16471      0.0556221             25
0.187418       0.053361             26
0.187331      0.0522823             27
0.179515      0.0546057             28
0.200184      0.0521137             29
0.172838      0.0549722             30
0.173397      0.0553456             31
0.167997      0.0560218             32
0.177948      0.0548832             33
0.17736      0.0537903             34
0.172399      0.0555768             35
0.182467      0.0525692             36
0.182125      0.0543719             37
0.178523      0.0548315             38
0.17454      0.0547627             39
0.176327      0.0552237             40
0.175552      0.0556082             41
0.194412      0.0532348             42
0.185967      0.0539275             43
0.182557      0.0544619             44
0.184547       0.054564             45
0.181846      0.0553998             46
0.183907      0.0545281             47
0.180342      0.0551541             48
0.179957      0.0555952             49
0.185744      0.0544877             50
0.185492      0.0548638             51
0.182675      0.0551896             52
0.182631      0.0546764             53
0.187248      0.0544328             54
0.187525      0.0529245             55
0.198234      0.0536399             56
0.215473      0.0512648             57
0.196467      0.0534187             58
0.206469      0.0527133             59
0.1957      0.0545928             60
0.207298      0.0521806             61
0.209977      0.0516507             62
0.196051      0.0541887             63
0.199947      0.0543251             64
0.204803      0.0535434             65
0.203775      0.0526095             66
0.209307      0.0529555             67
0.207815      0.0520637             68
0.208394      0.0518626             69
0.208438      0.0537479             70
0.219605      0.0523069             71
0.219867      0.0527449             72
0.227689      0.0516109             73
0.224632       0.052399             74
0.233252      0.0513344             75
0.243324      0.0497186             76
0.267537      0.0466562             77
0.255841      0.0464684             78
0.263771      0.0479285             79
0.258271      0.0485958             80
0.253097      0.0479346             81
0.265333      0.0474163             82
0.25004      0.0483987             83
0.259667      0.0482389             84
0.254669      0.0471578             85
0.252711       0.049604             86
0.257657      0.0483897             87
0.265849       0.047914             88
0.264425      0.0480406             89
0.272692      0.0474969             90
0.273245      0.0456646             91
0.264479       0.047994             92
0.266914      0.0481812             93
0.263405      0.0470173             94
0.271036      0.0472162             95
0.275423      0.0474147             96
0.281845      0.0468796             97
0.275431      0.0472759             98
0.285113      0.0458126             99
0.280068      0.0463343            100
0.284033      0.0467088            101
0.289773      0.0450119            102
0.29241      0.0457931            103
0.298647      0.0450198            104
0.308384      0.0437621            105
0.310044      0.0430552            106
0.316809      0.0431792            107
0.312125      0.0430684            108
0.303993      0.0456655            109
0.313951      0.0432369            110
0.30766      0.0445296            111
0.323614      0.0434379            112
0.328728      0.0420274            113
0.338615      0.0407296            114
0.342712      0.0402539            115
0.346667      0.0410966            116
0.362089      0.0379721            117
0.350499      0.0389148            118
0.362284      0.0393343            119
0.38038      0.0381805            120
0.401093      0.0365006            121
0.414981      0.0329295            122
0.424286      0.0321172            123
0.453552      0.0269655            124
0.463991      0.0225679            125
0.487609      0.0190846            126
0.467513      0.0152293            127
0.461223      0.0136196            128
0.48898      0.0171885            129
0              0            130
0              0            131
0              0            132
0              0            133
0              0            134
0              0            135
0              0            136
0              0            137
0              0            138
0              0            139
0              0            140
0              0            141
0              0            142
0              0            143
0              0            144
0              0            145
0              0            146
0              0            147
0              0            148
0              0            149
0              0            150
0              0            151
0              0            152
0              0            153
0              0            154
0              0            155
0              0            156
0              0            157
0              0            158
0              0            159
0              0            160
0              0            161
0              0            162
0              0            163
0              0            164
0              0            165
0              0            166
0              0            167
0              0            168
0              0            169
0              0            170
0              0            171
0              0            172
0              0            173
0              0            174
0              0            175
0              0            176
0              0            177
0.985402     0.00445997            178
0              0            179
0              0            180
0              0            181
0              0            182
0              0            183
0              0            184
0              0            185
0              0            186
0              0            187
0              0            188
0              0            189
0              0            190
0              0            191
0              0            192
0              0            193
0.87618    0.000334913            194
0              0            195
0              0            196
0              0            197
0              0            198
0              0            199
