i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
0,0,0,2.58995e-08,5.93094e-13,1,0,168,1.42201e-09,2799,6.69299e-14,148,3.36117e-10,32,2.38096e-08,10000,0,0,0,0,3.18858e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23258e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.63555e-08,5.28728e-13,1,0,168,1.67962e-09,3306,4.5057e-14,153,4.77513e-10,38,2.39097e-08,9988,0,0,0,0,2.73555e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64853e-12,3,0,0,0,0,0,0,1.31548e-12,1,0,0,3.62978e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2.64352e-08,7.27574e-13,1,1.86453e-16,170,1.6413e-09,3240,9.33392e-15,165,5.29163e-10,52,2.39365e-08,9978,0,0,0,0,2.96625e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52741e-12,1,0,0,0,0,0,0,0,0,0,0,2.3367e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2.68155e-08,6.19611e-13,1,2.61172e-16,172,1.68361e-09,3283,3.16463e-14,173,6.90544e-10,62,2.40283e-08,9967,0,0,0,0,4.08701e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60505e-12,3,0,0,0,0,0,0,0,0,0,0,1.11029e-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2.6702e-08,5.93641e-13,1,1.12829e-16,175,1.65648e-09,3313,1.18706e-14,177,6.75191e-10,56,2.41621e-08,9959,0,0,0,0,1.87712e-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29659e-12,3,0,0,0,0,0,0,0,0,0,0,1.06382e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2.69994e-08,7.71664e-13,1,1.5443e-16,179,1.67497e-09,3282,2.52319e-14,183,7.70584e-10,77,2.42762e-08,9952,0,0,0,0,2.57683e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83541e-12,6,0,0,0,0,0,0,8.8982e-13,1,0,0,9.42197e-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2.71238e-08,5.57486e-13,1,2.31462e-16,183,1.62432e-09,3228,2.65933e-16,191,8.40788e-10,88,2.43199e-08,9940,0,0,0,0,2.79437e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96737e-11,3,0,0,0,0,0,0,0,0,0,0,1.86938e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,3.97213e-13,1
7,0,0,2.71687e-08,0,0,9.55397e-17,184,1.5696e-09,3190,9.38193e-15,199,7.5755e-10,91,2.44159e-08,9930,0,0,0,0,4.20651e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89107e-13,1,0,0,0,0,0,0,0,0,0,0,4.5227e-12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,2.73126e-08,0,0,5.52377e-17,187,1.58343e-09,3164,3.67576e-14,205,1.05315e-09,106,2.4462e-08,9919,0,0,0,0,2.0532e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60115e-13,2,0,0,0,0,0,0,0,0,0,0,8.39847e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,2.75681e-08,0,0,7.57012e-16,194,1.69121e-09,3398,5.19569e-14,212,1.03691e-09,112,2.46215e-08,9911,3.91046e-16,1,0,0,2.10843e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42272e-12,1,0,0,0,0,0,0,5.31793e-13,1,0,0,5.61693e-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
