i	j	k	Dose(Gy)	gamma	gamma_f	e-	e-_f	e+	e+_f	neutron	neutron_f	proton_1	proton_1_f	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Li7	Li7_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B10	B10_f	B11	B11_f	C12	C12_f	C13	C13_f	C14	C14_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	O16	O16_f	O17	O17_f	O18	O18_f	Na23	Na23_f	Si28	Si28_f	P31	P31_f	S32	S32_f	S34	S34_f	Cl35	Cl35_f	Cl36	Cl36_f	Cl37	Cl37_f	K39	K39_f	K41	K41_f	Fe57	Fe57_f
0	0	0	3.70591e-07	1.77142e-15	1765	1.39005e-08	31745	4.56246e-12	6	2.19137e-15	378	3.51842e-07	100000	2.21973e-09	181	0	0	0	0	0	0	2.23852e-09	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36331e-11	38	0	0	0	0	0	0	1.74644e-11	9	0	0	0	0	2.7453e-10	131	8.63423e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	3.76733e-07	2.34669e-15	1788	1.4885e-08	34576	4.17161e-12	5	6.87601e-14	416	3.55357e-07	99886	3.93697e-09	254	0	0	0	0	0	0	2.2427e-09	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99279e-11	45	0	0	0	0	0	0	1.04848e-11	6	0	0	0	0	2.15639e-10	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57115e-13	1	0	0	0	0
2	0	0	3.80855e-07	9.84822e-16	1821	1.48653e-08	34773	9.2513e-12	7	3.87107e-14	473	3.58757e-07	99782	3.99517e-09	323	0	0	0	0	0	0	2.86055e-09	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4827e-10	58	2.19035e-13	1	0	0	0	0	6.23996e-12	5	0	0	0	0	2.12129e-10	131	0	0	0	0	0	0	0	0	0	0	7.57693e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	3.85371e-07	1.68274e-15	1836	1.45891e-08	34324	1.29645e-11	9	4.60851e-14	524	3.62449e-07	99657	4.93496e-09	398	0	0	0	0	0	0	3.02822e-09	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12727e-10	54	0	0	0	0	0	0	5.25046e-12	6	0	0	0	0	2.35004e-10	140	0	0	0	0	3.72848e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	3.60831e-12	1	0	0	0	0	0	0
4	0	0	3.90342e-07	1.20581e-15	1845	1.45194e-08	34161	1.17114e-11	9	5.89436e-14	556	3.65988e-07	99528	6.39849e-09	454	0	0	0	0	0	0	2.98641e-09	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10922e-10	53	0	0	0	0	0	0	1.91873e-11	4	0	0	0	0	3.05828e-10	162	0	0	1.95878e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	3.93426e-07	1.24575e-15	1854	1.44244e-08	34296	1.12462e-11	8	7.45316e-14	573	3.69843e-07	99401	6.36766e-09	469	0	0	0	0	0	0	2.40357e-09	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22663e-10	59	0	0	0	0	0	0	7.78487e-12	3	0	0	0	0	2.44452e-10	132	0	0	0	0	0	0	0	0	1.05835e-12	2	0	0	0	0	3.26793e-13	1	0	0	0	0	0	0	0	0	0	0
6	0	0	3.97603e-07	1.69812e-15	1858	1.4299e-08	34115	1.08639e-11	8	1.49991e-13	603	3.736e-07	99292	6.88416e-09	530	0	0	0	0	0	0	2.44908e-09	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3264e-10	61	0	0	0	0	0	0	1.15364e-11	6	0	0	0	0	2.14151e-10	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08825e-13	1	0	0	0	0	0	0
7	0	0	4.02976e-07	1.17209e-15	1861	1.40094e-08	33580	1.04492e-11	8	9.11087e-14	628	3.77937e-07	99180	7.64482e-09	564	0	0	1.29619e-11	1	0	0	2.88631e-09	117	3.84476e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30273e-10	44	1.76074e-12	1	0	0	0	0	6.17931e-12	5	0	0	0	0	3.25737e-10	147	0	0	0	0	1.31165e-12	1	0	0	3.95959e-13	1	4.65632e-12	2	0	0	0	0	0	0	0	0	1.9848e-13	1	0	0	1.24487e-13	1
8	0	0	4.06555e-07	2.4816e-15	1874	1.38254e-08	33396	8.39791e-12	7	9.54951e-14	639	3.82534e-07	99069	7.26457e-09	571	0	0	5.16942e-11	1	0	0	2.48831e-09	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4323e-11	51	0	0	0	0	0	0	1.80107e-11	4	8.68924e-12	1	0	0	2.61385e-10	138	1.73518e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	4.10323e-07	1.25679e-15	1881	1.36476e-08	33147	3.83047e-12	6	4.71569e-14	654	3.87178e-07	98963	7.00568e-09	580	0	0	0	0	0	0	2.07288e-09	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62228e-12	1	1.21108e-10	61	0	0	0	0	0	0	3.3473e-11	8	1.44755e-12	1	0	0	2.53116e-10	160	0	0	0	0	0	0	0	0	0	0	6.86007e-13	1	0	0	0	0	0	0	0	0	2.81937e-13	1	0	0	0	0
