i	j	k	LDT	LTT	e+_D	e+_T	proton_D	proton_T	proton_1_D	proton_1_T	deuteron_D	deuteron_T	triton_D	triton_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C15_D	C15_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	O15_D	O15_T	O16_D	O16_T	O17_D	O17_T	O18_D	O18_T	F20_D	F20_T	Ne20_D	Ne20_T	Na23_D	Na23_T	Mg24_D	Mg24_T	Al27_D	Al27_T	Si29_D	Si29_T	Si30_D	Si30_T	P31_D	P31_T	S32_D	S32_T	S34_D	S34_T	Cl35_D	Cl35_T	Cl36_D	Cl36_T	Cl37_D	Cl37_T	Ar38_D	Ar38_T	K39_D	K39_T	K40_D	K40_T	K41_D	K41_T	Mn54_D	Mn54_T	Fe56_D	Fe56_T
0	0	0	3.57379e-05	6.43815e-06	0.277934	0.0423579	0.0151764	0.028889	1.01004e-05	6.3012e-06	0	0	0	0	0.177449	11.9797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.3535	5847.27	1025.19	156574	0	0	0	0	159.23	42813.6	0	0	0	0	0	0	13.8047	3157.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1534.92	489312	0	0	0	0	0	0	0	0
1	0	0	3.13741e-05	6.4813e-06	0.289782	0.0519753	0.00784919	0.0108203	1.01249e-05	6.33052e-06	0	0	0	0	0.193096	6.39237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6622	9220	0	0	0	0	0	0	182.393	39905	0	0	0	0	0	0	13.5049	3108.09	0	0	0	0	0	0	0	0	2031.52	323296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	4.01872e-05	6.56104e-06	0.329106	0.0566986	0.0057441	0.00618001	1.00869e-05	6.36054e-06	4200.92	24292.3	0	0	0.113603	3.89666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.1625	5612.08	380.915	104498	0	0	0	0	325.299	67577.3	0	0	0	0	0	0	15.2191	3015.56	0	0	1112.4	166959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136.38	224490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	3.52998e-05	6.57588e-06	0.217342	0.0378289	0.0053969	0.00527018	1.01236e-05	6.39297e-06	0	0	0	0	0.149593	4.02486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.7239	5261.12	163.44	57708.8	0	0	0	0	438.243	161928	0	0	655.89	199130	0	0	18.2551	3505.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615.158	224777	0	0	0	0	23873.9	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	3.64e-05	6.59807e-06	0.215218	0.0344649	0.00527321	0.00415773	1.01599e-05	6.42612e-06	2893.16	16141.8	0	0	0.127232	4.09208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.7909	8312.33	439.404	66722.4	0	0	0	0	635.065	148023	0	0	0	0	0	0	14.084	3219.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	3.57549e-05	6.64139e-06	1.15234	0.168987	0.00418352	0.00336309	1.01651e-05	6.45902e-06	11891.9	48294.9	0	0	0.144447	5.97083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.6243	7083.54	294.598	109049	0	0	0	0	1523.3	184657	0	0	0	0	0	0	13.2901	3065.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	3.48687e-05	6.6698e-06	1.0134	0.166499	0.00369584	0.00285079	1.01955e-05	6.49228e-06	2740.39	16267.8	0	0	0.178809	6.99717	0	0	0	0	0	0	0	0	0	0	0	0	264.196	47031.7	0	0	0	0	0	0	0	0	0	0	31.5434	6649.74	759.152	189934	0	0	0	0	167.433	65618.2	0	0	0	0	0	0	13.4905	2980.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1584.25	414182	0	0	0	0	3455.5	453393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	3.48407e-05	6.71512e-06	0.689378	0.107181	0.0032446	0.00260927	1.02483e-05	6.52758e-06	0	0	136.395	10355.6	0.180704	6.56262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2332	6076.1	170.916	69640.6	0	0	0	0	0	0	0	0	0	0	0	0	12.1516	2477.66	0	0	571.933	130956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12840.9	440788	0	0	0	0	2049.04	489311	0	0	0	0	0	0	0	0
8	0	0	3.78663e-05	6.78031e-06	0.403687	0.0742355	0.00298033	0.00243623	1.03141e-05	6.56347e-06	3179.36	16251.6	0	0	0.125332	3.77005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.021	6625.48	298.65	107328	0	0	0	0	500.118	93896.1	66.4434	54546	0	0	0	0	13.4048	2720.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	3.49998e-05	6.79299e-06	0.821297	0.153958	0.00280904	0.00207962	1.02873e-05	6.5992e-06	4451.05	24915.3	0	0	0.162459	6.34653	0	0	0	0	0	0	0	0	0	0	0	0	401.27	48663	0	0	0	0	0	0	0	0	0	0	26.6146	6151.3	545.409	119331	0	0	0	0	364.257	60216.7	0	0	0	0	0	0	11.1495	2504.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22741.2	440785	0	0	0	0	0	0	311077	477062	0	0	0	0	0	0
10	0	0	3.86759e-05	6.85386e-06	1.20026	0.171125	0.00240604	0.00185148	1.04877e-05	6.63863e-06	2822.57	16308.3	17.3714	687.26	0.154743	6.04766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3117	4977.98	0	0	2019.17	141864	0	0	188.288	59823.8	0	0	0	0	0	0	10.1514	2197.23	0	0	0	0	0	0	0	0	4004.53	323295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	3.54936e-05	6.87376e-06	1.23168	0.218126	0.00260143	0.00181548	1.03632e-05	6.67016e-06	1.31611	10.4615	0	0	0.141063	5.0633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399.674	89685.3	0	0	0	0	27.3904	5875.8	445.513	129886	0	0	0	0	286.682	56661.7	319.265	122356	0	0	0	0	12.8587	2793.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	3.48547e-05	6.90844e-06	0.474287	0.0714475	0.00240417	0.00172955	1.03899e-05	6.70625e-06	15077.1	48294.8	0	0	0.148379	5.33469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.4497	9113.85	111.937	45356.4	0	0	0	0	201.962	57455.8	0	0	0	0	0	0	12.3095	2848.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24762.5	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
