Dose(Gy)         ln(S)        Survival      DoseB(Gy)            RBE   depth(slice)
9.54359       -6.49475     0.00151136        9.54359              1              0
9.64169       -6.60641     0.00135168        9.64169              1              1
9.701       -6.67268       0.001265          9.701              1              2
9.7994       -6.77561     0.00114127         9.7994              1              3
9.85439       -6.84002     0.00107009        9.85439              1              4
9.87959       -6.86818     0.00104037        9.87959              1              5
9.96618       -6.96174    0.000947447        9.96618              1              6
10.015       -7.02025    0.000893599         10.015              1              7
10.0675       -7.07869    0.000842874        10.0675              1              8
10.1105       -7.12708    0.000803063        10.1105              1              9
10.1884       -7.21023     0.00073899        10.1884              1             10
10.2221       -7.24686    0.000712404        10.2221              1             11
10.297        -7.3281    0.000656823         10.297              1             12
10.3257       -7.36241    0.000634666        10.3257              1             13
10.4011       -7.44399    0.000584947        10.4011              1             14
10.4534       -7.50446    0.000550625        10.4534              1             15
10.5198       -7.57434    0.000513461        10.5198              1             16
10.5499       -7.61154     0.00049471        10.5499              1             17
10.5873       -7.65333     0.00047446        10.5873              1             18
10.65       -7.72274    0.000442647          10.65              1             19
10.7012       -7.77868    0.000418564        10.7012              1             20
10.7604       -7.84325     0.00039239        10.7604              1             21
10.8206        -7.9106    0.000366833        10.8206              1             22
10.8773        -7.9718    0.000345056        10.8773              1             23
10.9185       -8.02245    0.000328015        10.9185              1             24
10.9947       -8.10168     0.00030303        10.9947              1             25
11.0807       -8.19631    0.000275668        11.0807              1             26
11.1407        -8.2636     0.00025773        11.1407              1             27
11.1954       -8.32007    0.000243578        11.1954              1             28
11.2458       -8.38286    0.000228756        11.2458              1             29
11.3087       -8.44855    0.000214211        11.3087              1             30
11.3579       -8.50516    0.000202421        11.3579              1             31
11.4171       -8.57245    0.000189248        11.4171              1             32
11.4914       -8.65109    0.000174936        11.4914              1             33
11.5377       -8.70536    0.000165695        11.5377              1             34
11.602       -8.77602    0.000154391         11.602              1             35
11.6547        -8.8358    0.000145432        11.6547              1             36
11.7358       -8.92727     0.00013272        11.7358              1             37
11.7966       -8.99107    0.000124517        11.7966              1             38
11.8528       -9.05404    0.000116918        11.8528              1             39
11.9549       -9.16826    0.000104298        11.9549              1             40
12.0085       -9.22978    9.80746e-05        12.0085              1             41
12.1044       -9.33334    8.84262e-05        12.1044              1             42
12.1936       -9.43053    8.02367e-05        12.1936              1             43
12.2539       -9.49784    7.50139e-05        12.2539              1             44
12.3154       -9.56702    6.99998e-05        12.3154              1             45
12.384       -9.64339     6.4853e-05         12.384              1             46
12.4807        -9.7535     5.8091e-05        12.4807              1             47
12.5429       -9.81905    5.44053e-05        12.5429              1             48
12.6246       -9.91206    4.95732e-05        12.6246              1             49
12.7203       -10.0166    4.46514e-05        12.7203              1             50
12.7969       -10.1024    4.09826e-05        12.7969              1             51
12.9067       -10.2234      3.631e-05        12.9067              1             52
13.0222       -10.3507    3.19713e-05        13.0222              1             53
13.1347       -10.4742    2.82564e-05        13.1347              1             54
13.2234       -10.5759    2.55249e-05        13.2234              1             55
13.3278       -10.6875    2.28295e-05        13.3278              1             56
13.4503       -10.8236    1.99233e-05        13.4503              1             57
13.5748       -10.9623    1.73429e-05        13.5748              1             58
13.6784       -11.0795    1.54259e-05        13.6784              1             59
13.8112       -11.2234    1.33583e-05        13.8112              1             60
13.9598       -11.3875    1.13367e-05        13.9598              1             61
14.0937       -11.5384    9.74815e-06        14.0937              1             62
14.2335       -11.6946    8.33889e-06        14.2335              1             63
14.4104       -11.8877    6.87476e-06        14.4104              1             64
14.5751       -12.0673    5.74452e-06        14.5751              1             65
14.7502       -12.2634     4.7212e-06        14.7502              1             66
14.9539       -12.4884    3.77015e-06        14.9539              1             67
15.154       -12.7141    3.00848e-06         15.154              1             68
15.3853       -12.9679    2.33415e-06        15.3853              1             69
15.6421       -13.2518    1.75717e-06        15.6421              1             70
15.8906       -13.5292    1.33144e-06        15.8906              1             71
16.1887        -13.861    9.55519e-07        16.1887              1             72
16.5231        -14.231    6.60033e-07        16.5231              1             73
16.9116       -14.6645    4.27839e-07        16.9116              1             74
17.3888        -15.196    2.51458e-07        17.3888              1             75
17.9684       -15.8194    1.34816e-07        17.9684              1             76
18.3438       -16.2102    9.12007e-08        18.3438              1             77
