Dose(Gy)         ln(S)        Survival      DoseB(Gy)            RBE   depth(slice)
0.019204    -0.00305171       0.996953      0.0273352        1.42341              0
0.0195843    -0.00342693       0.996579      0.0306417        1.56461              1
0.0189838    -0.00295311       0.997051      0.0264644        1.39405              2
0.0194588    -0.00319161       0.996813      0.0285695         1.4682              3
0.0191198    -0.00287918       0.997125      0.0258109        1.34996              4
0.019806    -0.00312394       0.996881      0.0279726        1.41233              5
0.0201595    -0.00345317       0.996553      0.0308726        1.53142              6
0.02006    -0.00331197       0.996694      0.0296299        1.47706              7
0.020119     -0.0033752        0.99663      0.0301866         1.5004              8
0.0208808    -0.00391286       0.996095      0.0349069        1.67172              9
0.0204551    -0.00354579        0.99646      0.0316868        1.54909             10
0.0205552    -0.00374816       0.996259      0.0334634        1.62798             11
0.0197501    -0.00312518        0.99688      0.0279836        1.41688             12
0.0201324    -0.00331072       0.996695      0.0296189        1.47121             13
0.0197576     -0.0031057       0.996899      0.0278117        1.40764             14
0.0204554     -0.0034163        0.99659      0.0305482        1.49341             15
0.0202697    -0.00327072       0.996735      0.0292666        1.44386             16
0.0199536    -0.00318175       0.996823      0.0284825        1.42744             17
0.0202969     -0.0032924       0.996713      0.0294576        1.45133             18
0.0217789    -0.00388128       0.996126      0.0346303        1.59008             19
0.0206839    -0.00338031       0.996625      0.0302316         1.4616             20
0.0209462    -0.00347567        0.99653      0.0310704        1.48334             21
0.020384    -0.00327183       0.996734      0.0292764        1.43624             22
0.0206104     -0.0033187       0.996687      0.0296892        1.44049             23
0.0215951    -0.00382109       0.996186      0.0341028        1.57919             24
0.021478     -0.0035633       0.996443      0.0318406        1.48248             25
0.0225162      -0.004247       0.995762      0.0378285        1.68006             26
0.023151    -0.00436491       0.995645      0.0388575        1.67844             27
0.0224563    -0.00405878       0.995949      0.0361838         1.6113             28
0.0234591    -0.00472481       0.995286      0.0419911        1.78997             29
0.0222635    -0.00387523       0.996132      0.0345773        1.55309             30
0.0220227     -0.0038455       0.996162      0.0343168        1.55825             31
0.0217655    -0.00368307       0.996324      0.0328924        1.51122             32
0.0221588    -0.00397007       0.996038      0.0354077        1.59791             33
0.0229575    -0.00410009       0.995908      0.0365451        1.59186             34
0.0223945    -0.00388865       0.996119      0.0346948        1.54926             35
0.023658    -0.00434622       0.995663      0.0386944        1.63558             36
0.02291    -0.00420102       0.995808       0.037427        1.63366             37
0.0231409    -0.00416055       0.995848      0.0370734        1.60207             38
0.0230021    -0.00404376       0.995964      0.0360525        1.56736             39
0.0231757    -0.00411616       0.995892      0.0366856        1.58293             40
0.0234612    -0.00414928       0.995859       0.036975          1.576             41
0.0245268    -0.00480033       0.995211      0.0426473         1.7388             42
0.0242429    -0.00454008        0.99547      0.0403839         1.6658             43
0.0247905    -0.00455915       0.995451      0.0405499        1.63571             44
0.0243939    -0.00453427       0.995476      0.0403333        1.65342             45
0.0242326    -0.00443913       0.995571      0.0395045        1.63022             46
